"Applied filters:
casden is before 01 January 2023";
;
Cesta;Počet cest
B Kolbenova → B Černý Most;129 953
C Vltavská → C Prosek;129 867
B Rajská zahrada → B Florenc;129 833
C Ládví → C Prosek;129 651
C Budějovická → C Ládví;129 423
C Kobylisy → B Náměstí Republiky;129 380
C Kobylisy → C Chodov;129 131
B Anděl → B Invalidovna;129 102
C Letňany → C Pankrác;128 478
A Muzeum → A Flora;128 449
B Invalidovna → B Anděl;128 266
A Nádraží Veleslavín → A Bořislavka;127 764
B Křižíkova → B Můstek;127 570
A Náměstí Míru → A Flora;127 125
B Křižíkova → B Národní třída;126 840
C Háje → C Vltavská;126 813
C Prosek → C Vltavská;126 671
C Chodov → C Kobylisy;126 496
C Vyšehrad → C Pražského povstání;126 258
A Muzeum → A Bořislavka;126 170
B Nové Butovice → B Palmovka;126 148
A Petřiny → A Bořislavka;126 037
C Vyšehrad → C Háje;125 813
A Flora → A Malostranská;125 556
C Vyšehrad → C Kobylisy;125 393
B Anděl → B Hloubětín;125 230
C Prosek → C I. P. Pavlova;124 965
A Dejvická → B Smíchovské nádraží;124 857
C Muzeum → C Roztyly;124 638
C Hlavní nádraží → A Hradčanská;124 580
A Dejvická → C Pankrác;124 556
A Želivského → A Malostranská;124 017
B Hloubětín → B Palmovka;123 911
B Karlovo náměstí → B Radlická;123 523
B Černý Most → C Hlavní nádraží;123 428
B Národní třída → B Českomoravská;123 428
C Vltavská → C Háje;123 238
C Ládví → B Anděl;123 112
C Chodov → C Nádraží Holešovice;123 093
B Národní třída → B Křižíkova;122 701
B Českomoravská → B Národní třída;122 186
C Střížkov → C Letňany;122 028
B Luka → B Stodůlky;121 959
B Můstek → B Křižíkova;121 868
C Letňany → C Prosek;121 816
A Strašnická → A Malostranská;121 810
A Želivského → A Flora;121 652
B Palmovka → B Nové Butovice;121 583
A Dejvická → C I. P. Pavlova;121 498
B Palmovka → B Hloubětín;121 411
